seg,title,bid,maxbid2x,allin,rlo,rhi,netlo,nethi,mlo,st,size,uf,end,estado,url,thumb
opalina,RRDECO ANTIGUIDADES Antigo conjunto de 5 pratos de sobremesa confeccio,300.0,24,425,270,630,-174,161,0.64,0.48,peq/med,,NaT,sem_data,https://rrdeco.com.br/peca.asp?Id=30996471,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62089/30996471.jpg
vista alegre,Vista Alegre  Modelo Jardim Roberto Simões  Conjunto com 5 pratos fund,180.0,15,299,252,488,-65,155,0.84,0.65,peq/med,,NaT,sem_data,https://leiloeslemos.com.br/peca.asp?Id=31201618,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62442/31201618.jpg
prata lei/contr,"CORRENTE EM PRATA 925 COM DESIGN DE ELOS TRANÇADOS, FREQUENTEMENTE IDE",387.0,7,516,234,720,-299,153,0.45,0.49,peq/med,,NaT,sem_data,https://velhavelharialeiloes.com.br/peca.asp?Id=31165503,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62560/31165503.jpg
prata lei/contr,RR Antiguidades Antiga rara agulha confeccionada em metal e cabo em pr,390.0,7,520,234,720,-302,150,0.45,0.49,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30177102,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30177102.jpg
candelabro,BRONZE. um (1) castiçal confeccionado em bronze representando cobra na,120.0,0,236,162,414,-85,149,0.69,0.47,peq/med,,NaT,sem_data,https://jotamleiloes.com.br/peca.asp?Id=30234203,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61324/30234203.jpg
candelabro,RR Antiguidades Antigo castical confeccionado em bronze ricamente trab,120.0,0,236,162,414,-85,149,0.69,0.47,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30177110,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30177110.jpg
limoges,Antigo prato decorativo para parede em porcelana francesa pintada com ,190.0,15,310,252,486,-75,142,0.81,0.58,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176302,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176302.jpg
prata lei/contr,"Açucareiro inglês em prata 925 mls, de elegante feitura em estilo Art ",400.0,7,530,234,720,-312,140,0.44,0.49,peq/med,RJ,2026-06-17 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120012,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120012.jpg
prata lei/contr,"Caixa porta-pílulas ART DECÔ, Década de 20/30, em prata europeia, lavr",400.0,7,530,234,720,-312,140,0.44,0.49,peq/med,,NaT,sem_data,https://aureaantiguidades.com.br/peca.asp?Id=30123826,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61010/30123826.jpg
prata lei/contr,Duas molduras para porta retrato de prata de lei inglesa teor 925  fab,400.0,7,530,234,720,-312,140,0.44,0.49,peq/med,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31010519,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61976/31010519.jpg
prata lei/contr,"Garfo de sobremesa em prata portuguesa, contraste ""P Coroa"", do século",400.0,7,530,234,720,-312,140,0.44,0.49,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31163538,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31163538.jpg
candelabro,Antigo e diferenciado castical confeccionado em porcelana em formato d,130.0,0,246,162,414,-96,139,0.66,0.47,peq/med,RJ,2026-07-11 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31064062,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31064062.jpg
candelabro,RR Antiguidades Antigo e diferenciado castical enfeite em vidro transl,130.0,0,246,162,414,-96,139,0.66,0.47,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30177039,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30177039.jpg
vista alegre,"CONJUNTO VISTA ALEGRE PARA CAFÉ / CHÁ, 4 PEÇAS.Conjunto em porcelana V",200.0,15,320,252,488,-86,134,0.79,0.65,peq/med,,NaT,sem_data,https://rioarteleiloes.com.br/peca.asp?Id=31124520,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62093/31124520.jpg
limoges,Antigo e raro porta joias em porcelana pintada a mao. Peca estimada da,200.0,15,320,252,486,-86,132,0.79,0.58,peq/med,,NaT,sem_data,https://rrdeco.com.br/peca.asp?Id=30996032,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62089/30996032.jpg
rosenthal,ROSENTHAL - Prato de bolo em porcelana alemã com tema floral e ricamen,220.0,24,341,270,504,-90,128,0.79,0.55,peq/med,RJ,2026-06-17 19:00,junho,https://anamelloleiloeira.com.br/peca.asp?Id=30103010,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60770/30103010.jpg
prata lei/contr,RR AntiguidadesCordao em prata de lei trabalhada. Peca em prata pura t,420.0,7,551,234,720,-333,119,0.42,0.49,peq/med,RJ,2026-07-10 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31064040,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31064040.jpg
candelabro,RR Antiguidades  Antigo castical enfeite em vidro murano. Peca estimad,160.0,0,278,162,414,-127,107,0.58,0.47,peq/med,,NaT,sem_data,https://rrdeco.com.br/peca.asp?Id=30996496,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62089/30996496.jpg
prata lei/contr,"SAINT-LOUIS  Licoreiro em cristal overlay vermelho, padrão Trianon. Fr",440.0,7,572,234,720,-354,98,0.41,0.49,peq/med,RJ,2026-06-16 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120122,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120122.jpg
candelabro,"Art Déco - Par de candelabros provavelmente europeus, em vidro artísti",120.0,0,296,162,414,-145,89,0.55,0.47,medio,RJ,2026-06-16 19:00,junho,https://rosanavaleleiloes.com.br/peca.asp?Id=29880152,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60441/29880152.jpg
prata lei/contr,"Conjunto em prata europeia contrastada, composto por porta-paliteiro e",450.0,7,582,234,720,-365,87,0.4,0.49,peq/med,RJ,2026-06-15 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120365,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120365.jpg
meissen,"Grande prato em porcelana alemã, marca da manufatura de Meissen, com d",350.0,58,478,342,585,-159,67,0.72,0.59,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31163763,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31163763.jpg
prata lei/contr,"DESPOJADOR - prata de lei 800, borda fenestrada decorada com guirlanda",480.0,7,614,234,720,-396,56,0.38,0.49,peq/med,,NaT,sem_data,https://raildacosta.com.br/peca.asp?Id=31113491,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62402/31113491.jpg
bronze escult,"F. BARBEDIENNE. Escultura em bronze fundido com pátina marrom escura, ",1300.0,112,1535,576,1710,-999,55,0.38,0.29,medio,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31154225,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62495/31154225.jpg
prata lei/contr,Antigo e raro par de paliteiros confeccionados em porcelana com beliss,490.0,7,624,234,720,-407,45,0.37,0.49,peq/med,RJ,2026-07-10 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31063701,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063701.jpg
prata lei/contr,Antigo e raro pequeno enfeite representando Flores confeccionado em pr,500.0,7,635,234,720,-417,35,0.37,0.49,peq/med,RJ,2026-07-10 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31064147,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31064147.jpg
prata lei/contr,Antigo e raro pequeno enfeite representando Flores confeccionado em pr,500.0,7,635,234,720,-417,35,0.37,0.49,peq/med,RJ,2026-07-10 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31064065,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31064065.jpg
candelabro,"BRONZES, par (2) de candelabros para 3 velas confeccionados em bronze,",180.0,0,359,162,414,-208,26,0.45,0.47,medio,,NaT,sem_data,https://jotamleiloes.com.br/peca.asp?Id=30234190,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61324/30234190.jpg
prata lei/contr,Bomba para chimarrão em prata de lei com bocal e detalhes em ouro baix,520.0,7,656,234,720,-438,14,0.36,0.49,peq/med,RS,2026-06-15 14:00,junho,https://santayana.com.br/peca.asp?Id=30909794,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61474/30909794.jpg
prata lei/contr,RR AntiguidadesCordao em prata de lei trabalhada. Peca em prata pura t,520.0,7,656,234,720,-438,14,0.36,0.49,peq/med,,NaT,sem_data,https://rrdeco.com.br/peca.asp?Id=30995687,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62089/30995687.jpg
candelabro,RR Antiguidades Antigo diferenciado castical confeccionado em bronze c,250.0,0,372,162,414,-222,13,0.43,0.47,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176884,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176884.jpg
murano assin/esc,Conjunto composto de: pequeno bowl de murano ass. Kosta Boda. 11 x 6 c,400.0,24,530,270,576,-279,6,0.51,0.36,peq/med,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31129510,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62495/31129510.jpg
prata lei/contr,RRDECO ANTIGUIDADES Antigo e raro porta comprimidos confeccionado em p,550.0,7,688,234,720,-470,-18,0.34,0.49,peq/med,RJ,2026-07-09 18:00,julho,https://rrdeco.com.br/peca.asp?Id=31063430,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063430.jpg
prata lei/contr,RR AntiguidadesCordao em prata de lei trabalhada. Peca em prata pura t,550.0,7,688,234,720,-470,-18,0.34,0.49,peq/med,RJ,2026-07-10 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31064260,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31064260.jpg
prata lei/contr,Estojo contendo doze colheres para café em prata de lei nacional compo,550.0,7,688,234,720,-470,-18,0.34,0.49,peq/med,SP,2026-06-17 20:00,junho,https://vmescritarteleiloes.com.br/peca.asp?Id=31074617,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62422/31074617.jpg
candelabro,CASTIÇAL / Escultura Lindíssimo porta velas com figura de Jovem anjo c,228.0,0,409,162,414,-259,-24,0.4,0.47,medio,RS,2026-06-18 14:00,junho,https://ciclosleiloes.com.br/peca.asp?Id=31191405,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61115/31191405.jpg
prata lei/contr,Cordão em prata 925 masculino / Tam: 72cm / Peso: 35grs,630.0,7,772,234,720,-554,-102,0.3,0.49,peq/med,RJ,2026-06-15 19:00,junho,https://tamiriscarvalholeiloeira.com.br/peca.asp?Id=30252916,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61656/30252916.jpg
prata lei/contr,Antigo e raro par de cinzeiros em prata de lei 925 com belissima decor,650.0,7,792,234,720,-575,-123,0.3,0.49,peq/med,RJ,2026-07-11 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31063732,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063732.jpg
bronze escult,"Torso de bronze polido e rústico, sobre base de madeira patinado de pr",1500.0,112,1745,576,1710,-1209,-155,0.33,0.29,medio,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31202441,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62495/31202441.jpg
prata lei/contr,"Par de porta-ovo poché, com présentoir, lavrado em prata de lei norte-",750.0,7,898,234,720,-680,-228,0.26,0.49,peq/med,SP,2026-06-17 20:00,junho,https://vmescritarteleiloes.com.br/peca.asp?Id=31088240,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62422/31088240.jpg
prata lei/contr,"Cigarreira de bolso em prata de lei 925 sterling, de elegante desenho ",800.0,7,950,234,720,-732,-280,0.25,0.49,peq/med,RJ,2026-06-16 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120009,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120009.jpg
limoges,Antigo conjunto de jarra e bacia em porcelana francesa de Limoges deco,600.0,15,740,252,486,-506,-288,0.34,0.58,peq/med,RS,2026-06-18 14:00,junho,https://danielchaiebleiloeiro.com.br/peca.asp?Id=31098863,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62501/31098863.jpg
limoges,Antigo e raro porta joias confeccionado em porcelana Francesa decorado,650.0,15,792,252,486,-558,-341,0.32,0.58,peq/med,RJ,2026-07-10 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31063482,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063482.jpg
opalina,Jacqueline Terpins. Elegante vaso de formato cilíndrico e silhueta lev,800.0,24,950,270,630,-699,-364,0.28,0.48,peq/med,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31129490,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62495/31129490.jpg
prata lei/contr,"Rara tamboladeira, provador de vinho, em prata francesa do século XVII",900.0,7,1055,234,720,-837,-385,0.22,0.49,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31163546,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31163546.jpg
prata lei/contr,"Cinzeiro de prata portuguesa do Porto, contraste Águia, II Título, 833",900.0,7,1055,234,720,-837,-385,0.22,0.49,peq/med,RJ,2026-06-16 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120072,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120072.jpg
candelabro,CANDELABROS (par) - espessurados a prata pé circular pequeno guilhocha,580.0,0,779,162,414,-628,-394,0.21,0.47,medio,,NaT,sem_data,https://raildacosta.com.br/peca.asp?Id=31113392,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62402/31113392.jpg
meissen,"MEISSEN. LINDO PRATO FUNDO EM PORCELANA MEISSEN. CORES BRANCO, VERDE E",800.0,58,950,342,585,-632,-406,0.36,0.59,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024872,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024872.jpg
prata lei/contr,Cordão em prata 925 masculino / Tam: 58cm / Peso:35grs,950.0,7,1108,234,720,-890,-438,0.21,0.49,peq/med,RJ,2026-06-15 19:00,junho,https://tamiriscarvalholeiloeira.com.br/peca.asp?Id=30253426,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61656/30253426.jpg
prata lei/contr,"BOLSA FEMININA  Bolsa de mão em prata de lei, com estrutura superior r",980.0,7,1139,234,720,-921,-469,0.21,0.49,peq/med,RJ,2026-06-17 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31130465,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31130465.jpg
prata lei/contr,RR Antiguidades Antiga Salva em prata de lei Portuguesa com belissima ,980.0,7,1139,234,720,-921,-469,0.21,0.49,peq/med,RJ,2026-07-16 15:00,julho,https://rrdeco.com.br/peca.asp?Id=30176782,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176782.jpg
prata lei/contr,"Copo de prata de lei 833, regional, corpo em gomilados torcidos e barr",1000.0,7,1160,234,720,-942,-490,0.2,0.49,peq/med,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31203024,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62495/31203024.jpg
prata lei/contr,PRATA - Vaso elaborado em prata 800 (contraste no fundo) apresentando ,1000.0,7,1160,234,720,-942,-490,0.2,0.49,peq/med,RJ,2026-06-16 19:00,junho,https://bruceangeirasleiloeiro.com.br/peca.asp?Id=31203646,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62664/31203646.jpg
candelabro,IMPONENTE CASTIÇAL EM CRISTAL SÉCULO PASSADO COM TRABALHO EM METAL EM ,750.0,0,898,162,414,-747,-512,0.18,0.47,peq/med,,NaT,sem_data,https://leiloesrbraga.com.br/peca.asp?Id=30959219,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61597/30959219.jpg
prata lei/contr,Caixa Prata de Lei Oval com tampa incrustada. Pedra de Ágata  138g. Pe,1100.0,7,1265,234,720,-1047,-595,0.18,0.49,peq/med,SP,2026-06-15 16:00,junho,https://vapordaarte.com.br/peca.asp?Id=31154802,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62450/31154802.jpg
prata lei/contr,Conjunto composto por 2 copos e 2 porta-guardanapos em prata de lei. A,1140.0,7,1307,234,720,-1089,-637,0.18,0.49,peq/med,RJ,2026-06-15 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120042,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120042.jpg
baccarat,"BACCARAT  Conjunto com 8 taças para vinho em cristal overlay rubi, com",1800.0,236,2000,716,1440,-1334,-661,0.36,0.52,peq/med,RJ,2026-06-16 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120254,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120254.jpg
baccarat,"BACCARAT  Conjunto com 8 taças para vinho em cristal overlay rubi, com",1800.0,236,2000,716,1440,-1334,-661,0.36,0.52,peq/med,RJ,2026-06-16 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120253,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120253.jpg
limoges,"Aparelho para jantar de porcelana esmaltada francesa, manufatura de Li",1000.0,15,1160,252,486,-926,-708,0.22,0.58,peq/med,SP,2026-06-18 20:00,junho,https://vmescritarteleiloes.com.br/peca.asp?Id=31091307,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62422/31091307.jpg
prata lei/contr,"Elegante pegador de aspargos em prata de lei alemã, teor 800 mls, apre",1250.0,7,1422,234,720,-1205,-753,0.16,0.49,peq/med,RJ,2026-06-15 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120367,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120367.jpg
prata lei/contr,"COMENDA DA ORDEM DO LIBERTADOR  Venezuela, conjunto honorífico compost",1200.0,0,1430,234,720,-1212,-760,0.16,0.49,medio,RJ,2026-06-16 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31130534,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31130534.jpg
prata lei/contr,Par de saleiros europeu prata de lei - 163gr - 8 x 5 x 6,1300.0,7,1475,234,720,-1257,-805,0.16,0.49,peq/med,SP,2026-06-15 16:00,junho,https://vapordaarte.com.br/peca.asp?Id=31161897,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62450/31161897.jpg
meissen,"PRATO PORCELANA MEISSEN. RICA DECORAÇÃO EM RELEVO, REPRESENTANDO PARRE",1200.0,58,1370,342,585,-1052,-826,0.25,0.59,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024818,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024818.jpg
capodimonte,"Jarra decorativa de porcelana Capodimonte, polícroma e dourada. Corpo ",1850.0,144,2052,522,1184,-1567,-951,0.25,0.56,peq/med,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31204187,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62495/31204187.jpg
prata lei/contr,Par de mostardeiras em prata inglesa vitoriana. Contraste da cidade de,1500.0,7,1685,234,720,-1467,-1015,0.14,0.49,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31163392,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31163392.jpg
prata lei/contr,"Conjunto de garfo trinchante e faca para assado em prata portuguesa, c",1500.0,7,1685,234,720,-1467,-1015,0.14,0.49,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31163532,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31163532.jpg
prata lei/contr,"Espátula para peixe em prata portuguesa, contraste P Coroa, da Cidade ",1500.0,7,1685,234,720,-1467,-1015,0.14,0.49,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31163247,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31163247.jpg
baccarat,Cristallerie BACCARAT -  Raro conjunto de licoreira e seis copos de pé,2200.0,236,2420,716,1440,-1754,-1081,0.3,0.52,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31003545,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31003545.jpg
prata lei/contr,"Açucareiro com a respectiva concha em prata inglesa contrastada, teor ",1600.0,7,1790,234,720,-1572,-1120,0.13,0.49,peq/med,RJ,2026-06-15 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120366,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120366.jpg
prata lei/contr,RR AntiguidadesCordao em prata de lei trabalhada. Peca em prata pura t,1600.0,7,1790,234,720,-1572,-1120,0.13,0.49,peq/med,RJ,2026-07-09 18:00,julho,https://rrdeco.com.br/peca.asp?Id=31064004,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31064004.jpg
baccarat,BACCARAT  Conjunto com 4 belíssimas e raras taças em cristal double ru,2401.0,236,2631,716,1440,-1965,-1292,0.27,0.52,peq/med,RJ,2026-06-16 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120135,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120135.jpg
prata lei/contr,"Caixa retangular confeccionada em prata de lei 900 mls, com tampa leve",2200.0,7,2420,234,720,-2202,-1750,0.1,0.49,peq/med,RJ,2026-06-17 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31125950,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31125950.jpg
prata lei/contr,Conjunto de garfo e espa´tula para peixe em prata inglesa vitoriana. C,2500.0,7,2735,234,720,-2517,-2065,0.09,0.49,peq/med,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31163437,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31163437.jpg
prata lei/contr,Paliteiro em prata sem contraste base quadrangular sustentando travess,2500.0,7,2735,234,720,-2517,-2065,0.09,0.49,peq/med,RJ,2026-06-16 19:00,junho,https://rosanavaleleiloes.com.br/peca.asp?Id=30188788,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60441/30188788.jpg
opalina,"LINDÍSSIMO LUSTRE ESTILO OVERLAY EM OPALINA BRANCA, RICAMENTE DECORADO",2500.0,0,2795,270,630,-2544,-2209,0.1,0.48,medio,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024859,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024859.jpg
prata lei/contr,"Urna, com tampa, de prata de lei brasileira, contraste ""MFS Coroa"", te",2600.0,0,2900,234,720,-2682,-2230,0.08,0.49,medio,SP,2026-06-17 20:00,junho,https://vmescritarteleiloes.com.br/peca.asp?Id=31077586,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62422/31077586.jpg
sevres,"Sévres - Rara e excepcional caixa em porcelana de Sévres, marca no fun",4500.0,324,4835,900,2700,-3998,-2324,0.19,0.39,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31030237,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31030237.jpg
baccarat,"Rara e excepcional fruteira em opalina de Baccarat, finamente decorada",3500.0,236,3785,716,1440,-3119,-2446,0.19,0.52,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31026520,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31026520.jpg
prata lei/contr,"Berlin - Raríssima Snuff Box em porcelana da manufatura Berlin, montag",3000.0,7,3260,234,720,-3042,-2590,0.07,0.49,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31030238,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31030238.jpg
bronze escult,JOE DESCOMPS (1869 - 1950) - Escultura em bronze Art Deco representand,4500.0,112,4895,576,1710,-4359,-3305,0.12,0.29,medio,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31163771,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31163771.jpg
bronze escult,Bela escultura de bronze dourado na figura de Samurai em suas vestes c,5000.0,112,5420,576,1710,-4884,-3830,0.11,0.29,medio,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31196597,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62495/31196597.jpg
prata lei/contr,Par de Candelabro de prata de lei Sterling 925 - 900gr - 16 x 20 diâme,8500.0,0,9095,234,720,-8877,-8425,0.03,0.49,medio,SP,2026-06-15 16:00,junho,https://vapordaarte.com.br/peca.asp?Id=31161793,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62450/31161793.jpg
baccarat,"Lustre francês para seis luzes, executado em elegante estrutura metáli",12000.0,179,12770,716,1440,-12104,-11431,0.06,0.52,medio,RJ,2026-06-17 15:00,junho,https://marirodriguesleiloeira.com.br/peca.asp?Id=31120522,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61251/31120522.jpg
prata lei/contr,"Bandeja em prata de lei 833, pesando 1,9 kg., com gravação na superfíc",13300.0,7,14075,234,720,-13857,-13405,0.02,0.49,peq/med,RS,2026-06-15 14:00,junho,https://santayana.com.br/peca.asp?Id=30909877,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61474/30909877.jpg
prata lei/contr,"Floreira em prata de lei alemã século XIX, fino acabamento em prata ci",13500.0,7,14285,234,720,-14067,-13615,0.02,0.49,peq/med,SP,2026-06-15 16:00,junho,https://vapordaarte.com.br/peca.asp?Id=31154766,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62450/31154766.jpg
bronze escult,"Gennaro CHIURAZZI. (1842-1906). Chiurazzi Napoli, Furietti Centauros. ",18000.0,112,19070,576,1710,-18534,-17480,0.03,0.29,medio,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31154532,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62495/31154532.jpg
bronze escult,Gennaro CHIURAZZI. (1842-1906). Pandant de esculturas de bronze patina,18000.0,112,19070,576,1710,-18534,-17480,0.03,0.29,medio,,NaT,sem_data,https://casaamarelaleiloes.net.br/peca.asp?Id=31201756,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62495/31201756.jpg
