house_domain,auction_house,auction_id,auction_datetime,uf,source_url,scraped_at
esmeraldaleiloes.com.br,Esmeralda Leilões,61671,8/6/2026,RJ,https://www.esmeraldaleiloes.com.br/,2026-06-10T23:20:12
felipesouzaleiloeiro.com.br,Felipe Souza Leiloeiro,61471,8/6/2026,RJ,https://www.felipesouzaleiloeiro.com.br/,2026-06-10T23:20:12
leilao.lalanda.com.br,Lalanda Brasil,60994,8/6/2026,SP,https://www.leilao.lalanda.com.br/,2026-06-10T23:20:12
republicadaarte.com.br,Galeria República da Arte,62447,6/6/2026,PR,https://www.republicadaarte.com.br/,2026-06-10T23:20:12
fxmcolecoes.com.br,FxXxM Moedas & Coleções,62280,6/6/2026,SP,https://www.fxmcolecoes.com.br/,2026-06-10T23:20:12
antiquarioibiza.com.br,Antiquário Ibiza,62247,6/6/2026,RJ,https://www.antiquarioibiza.com.br/,2026-06-10T23:20:12
kenyapioleiloes.com.br,Kenya Pio Leilões de Arte,62170,6/6/2026,RJ,https://www.kenyapioleiloes.com.br/,2026-06-10T23:20:12
prochicleiloes.com.br,Pró Chic Leilões,62157,6/6/2026,RJ,https://www.prochicleiloes.com.br/,2026-06-10T23:20:12
valedocahyleiloes.com.br,Vale do Cahy Multicolecionismo,61997,6/6/2026,RS,https://www.valedocahyleiloes.com.br/,2026-06-10T23:20:12
leilaoexpressbrasil.com.br,Leilão Express Brasil,61904,6/6/2026,SP,https://www.leilaoexpressbrasil.com.br/,2026-06-10T23:20:12
rivaldodantasleiloes.com.br,Rivaldo Dantas Leilões,61742,6/6/2026,SP,https://www.rivaldodantasleiloes.com.br/,2026-06-10T23:20:12
numismaticarauber.com.br,Numismatica Rauber,61726,6/6/2026,RS,https://www.numismaticarauber.com.br/,2026-06-10T23:20:12
brasillivros.com.br,Brasil Livros,60723,6/6/2026,RJ,https://www.brasillivros.com.br/,2026-06-10T23:20:12
filatelicauniao.com.br,Filatélica União,62524,5/6/2026,SP,https://www.filatelicauniao.com.br/,2026-06-10T23:20:12
rosanavaleleiloes.com.br,Rosana Vale Leilões,62395,5/6/2026,RJ,https://www.rosanavaleleiloes.com.br/,2026-06-10T23:20:12
tavaresleiloes.com.br,Tavares Leilões,62313,5/6/2026,RJ,https://www.tavaresleiloes.com.br/,2026-06-10T23:20:12
retroversoleiloes.com.br,Retroverso Leilões,62197,5/6/2026,SP,https://www.retroversoleiloes.com.br/,2026-06-10T23:20:12
errolflynnleiloes.com.br,Errol Flynn - Leiloeiro Público,62098,5/6/2026,MG,https://www.errolflynnleiloes.com.br/,2026-06-10T23:20:12
thapejoias.com.br,Thape Joias,62019,5/6/2026,RJ,https://www.thapejoias.com.br/,2026-06-10T23:20:12
pecasehistorias.com.br,Peças e Historias Leilões,62017,5/6/2026,SP,https://www.pecasehistorias.com.br/,2026-06-10T23:20:12
leiloesdelatorre.com.br,Leilões de Latorre,61939,5/6/2026,SP,https://www.leiloesdelatorre.com.br/,2026-06-10T23:20:12
prochicleiloes.com.br,Pró Chic Leilões,61776,5/6/2026,RJ,https://www.prochicleiloes.com.br/,2026-06-10T23:20:12
antiguidadenacional.com.br,Antiguidade Nacional,61772,5/6/2026,ES,https://www.antiguidadenacional.com.br/,2026-06-10T23:20:12
villamilanileiloes.com.br,Villa Milani Antiquário,61663,5/6/2026,SP,https://www.villamilanileiloes.com.br/,2026-06-10T23:20:12
tratofeitobrazilleiloes.com.br,Trato Feito Brazil Leilões,61406,5/6/2026,RJ,https://www.tratofeitobrazilleiloes.com.br/,2026-06-10T23:20:12
santayana.com.br,Santayana Leilões,60853,5/6/2026,RS,https://www.santayana.com.br/,2026-06-10T23:20:12
clubefilatelicodobrasil.org,Clube Filatélico do Brasil,56901,31/10/2025,,https://www.clubefilatelicodobrasil.org/,2026-06-11T05:56:55
claudiofirminoleiloeiro.com.br,Claudio Firmino Leiloeiro,56736,31/10/2025,,https://www.claudiofirminoleiloeiro.com.br/,2026-06-11T05:56:15
kenyapioleiloes.com.br,Kenya Pio Leilões de Arte,56280,31/10/2025,,https://www.kenyapioleiloes.com.br/,2026-06-11T06:27:18
leilaopaulista.com.br,Leilão Paulista,57106,31/10/2025,,https://www.leilaopaulista.com.br/,2026-06-11T12:10:51
okumuraleiloes.com.br,Okumura Leilões,54072,31/10/2025,,https://www.okumuraleiloes.com.br/,2026-06-11T12:14:33
outrasepocas.com.br,Outras Épocas - Coleções e Antiguidades,47450,31/10/2024,,https://www.outrasepocas.com.br/,2026-06-11T03:55:10
amelialeiloeira.com.br,Amélia Amaral Leiloeira,47177,31/10/2024,,https://www.amelialeiloeira.com.br/,2026-06-11T03:55:10
emporiocentralantiguidades.lel.br,Emporio Central Leilões,47362,31/10/2024,,https://www.emporiocentralantiguidades.lel.br/,2026-06-11T06:08:43
claudiofirminoleiloeiro.com.br,Claudio Firmino Leiloeiro,47273,31/10/2024,,https://www.claudiofirminoleiloeiro.com.br/,2026-06-11T05:56:15
leiloesfox.com.br,Fox Leilões,47112,31/10/2024,,https://www.leiloesfox.com.br/,2026-06-11T12:11:11
outrasepocas.com.br,Outras Épocas - Coleções e Antiguidades,38813,31/10/2023,,https://www.outrasepocas.com.br/,2026-06-11T03:55:10
fibragaleria.com,Fibra Galeria,37891,31/10/2023,,https://www.fibragaleria.com/,2026-06-11T06:13:47
modernaleiloes.com.br,Numismática Moderna Leilões,38941,31/10/2023,,https://www.modernaleiloes.com.br/,2026-06-11T11:55:26
casadeleiloesguedeseguedes.com.br,Casa de Leilões Guedes e Guedes,38228,31/10/2023,,https://www.casadeleiloesguedeseguedes.com.br/,2026-06-11T12:05:05
estiloantigoleiloes.com.br,Estilo Antigo Leilões,10091,31/10/2018,,https://www.estiloantigoleiloes.com.br/,2026-06-11T06:11:53
waltergisermanleiloes.com.br,Walter Giserman Leilões,36330,31/08/2023,,https://www.waltergisermanleiloes.com.br/,2026-06-11T12:01:56
veridianaantiquario.com.br,Veridiana Leilões,37159,31/08/2023,,https://www.veridianaantiquario.com.br/,2026-06-11T12:18:03
estiloantigoleiloes.com.br,Estilo Antigo Leilões,16341,31/08/2020,,https://www.estiloantigoleiloes.com.br/,2026-06-11T06:11:53
rmsleiloes.com.br,RMS Antiguidades e Decoração,4880,31/08/2016,,https://www.rmsleiloes.com.br/,2026-06-11T12:16:22
outrasepocas.com.br,Outras Épocas - Coleções e Antiguidades,54011,31/07/2025,,https://www.outrasepocas.com.br/,2026-06-11T03:55:10
budanoleiloeiro.com.br,Francesco Budano - Leiloeiro Oficial,54190,31/07/2025,,https://www.budanoleiloeiro.com.br/,2026-06-11T05:45:53
normandialeiloes.com.br,"Normandia Leilões - Militaria, Antiguidades e Colecionismo",53950,31/07/2025,,https://www.normandialeiloes.com.br/,2026-06-11T05:56:27
duzzivintage.com.br,Duzzi Vintage Leilões,54220,31/07/2025,,https://www.duzzivintage.com.br/,2026-06-11T06:07:46
danielchaiebleiloeiro.com.br,Daniel Chaieb - Leiloeiro Oficial,54056,31/07/2025,,https://www.danielchaiebleiloeiro.com.br/,2026-06-11T06:00:33
garimpocarioca.com.br,Garimpo Carioca,50417,31/07/2025,,https://www.garimpocarioca.com.br/,2026-06-11T06:13:07
fxmcolecoes.com.br,FxXxM Moedas & Coleções,53977,31/07/2025,,https://www.fxmcolecoes.com.br/,2026-06-11T06:17:30
miltrekosleiloes.com.br,Miltrekos Leilões,54243,31/07/2025,,https://www.miltrekosleiloes.com.br/,2026-06-11T11:55:13
antiquariocasaazulleiloes.com.br,Antiquário Casa Azul Leilões,53109,31/07/2025,,https://www.antiquariocasaazulleiloes.com.br/,2026-06-11T12:02:55
fabricadecolecoes.com.br,Fábrica de Coleções,54103,31/07/2025,,https://www.fabricadecolecoes.com.br/,2026-06-11T12:07:37
reliquiadosalcantara.com.br,Relíquia dos Alcântara,52680,31/07/2025,,https://www.reliquiadosalcantara.com.br/,2026-06-11T12:16:01
bradg.com.br,Bradg Brazilian Art e Design Gallery,45344,31/07/2024,,https://www.bradg.com.br/,2026-06-11T05:44:40
casadeleiloesguedeseguedes.com.br,Casa de Leilões Guedes e Guedes,43935,31/07/2024,,https://www.casadeleiloesguedeseguedes.com.br/,2026-06-11T12:05:05
formosaelshadayleiloes.com.br,Formosa El Shaday Leilões,44175,31/07/2024,,https://www.formosaelshadayleiloes.com.br/,2026-06-11T12:08:03
outrasepocas.com.br,Outras Épocas - Coleções e Antiguidades,43427,31/05/2024,,https://www.outrasepocas.com.br/,2026-06-11T03:55:10
mktoyseantique.com.br,MK Toys e Antique,35421,31/05/2023,,https://www.mktoyseantique.com.br/,2026-06-11T12:13:22
retrostoreleiloes.com.br,Retrô Store Leilões,35065,31/05/2023,,https://www.retrostoreleiloes.com.br/,2026-06-11T12:16:05
estiloantigoleiloes.com.br,Estilo Antigo Leilões,27293,31/05/2022,,https://www.estiloantigoleiloes.com.br/,2026-06-11T06:11:53
fibragaleria.com,Fibra Galeria,26377,31/05/2022,,https://www.fibragaleria.com/,2026-06-11T06:13:47
nossopassado.com.br,Nosso Passado Mobiliário,27113,31/05/2022,,https://www.nossopassado.com.br/,2026-06-11T11:55:53
outrasepocas.com.br,Outras Épocas - Coleções e Antiguidades,60513,31/03/2026,,https://www.outrasepocas.com.br/,2026-06-11T03:55:10
anaaquinoleiloes.com.br,Ana Aquino Leilões,60165,31/03/2026,,https://www.anaaquinoleiloes.com.br/,2026-06-11T03:55:10
anamelloleiloeira.com.br,Ana Mello Leiloeira,60152,31/03/2026,,https://www.anamelloleiloeira.com.br/,2026-06-11T03:55:10
leilaolordellojoias.com.br,Lordello Joias,60581,31/03/2026,,https://www.leilaolordellojoias.com.br/,2026-06-11T05:45:12
claudiofirminoleiloeiro.com.br,Claudio Firmino Leiloeiro,60345,31/03/2026,,https://www.claudiofirminoleiloeiro.com.br/,2026-06-11T05:56:15
danielchaiebleiloeiro.com.br,Daniel Chaieb - Leiloeiro Oficial,60278,31/03/2026,,https://www.danielchaiebleiloeiro.com.br/,2026-06-11T06:00:33
estiloantigoleiloes.com.br,Estilo Antigo Leilões,60274,31/03/2026,,https://www.estiloantigoleiloes.com.br/,2026-06-11T06:11:53
galeriatoys.com.br,Galeria Toys,60238,31/03/2026,,https://www.galeriatoys.com.br/,2026-06-11T06:21:24
gavealeiloes.com.br,Gavea Leilões,59632,31/03/2026,,https://www.gavealeiloes.com.br/,2026-06-11T06:21:34
modernaleiloes.com.br,Numismática Moderna Leilões,60494,31/03/2026,,https://www.modernaleiloes.com.br/,2026-06-11T06:17:07
familiaybyleiloes.com.br,Família YbY,59835,31/03/2026,,https://www.familiaybyleiloes.com.br/,2026-06-11T06:17:07
leilaodesign.com.br,Leilão Design,60490,31/03/2026,,https://www.leilaodesign.com.br/,2026-06-11T06:30:32
leilaotresmarias.com.br,Leilão Três Marias,60348,31/03/2026,,https://www.leilaotresmarias.com.br/,2026-06-11T06:31:54
saojorgeleiloes.com.br,São Jorge Leilões,60203,31/03/2026,,https://www.saojorgeleiloes.com.br/,2026-06-11T11:59:33
leilaolavradio.com.br,Leilão Lavradio Arte & design,60487,31/03/2026,,https://www.leilaolavradio.com.br/,2026-06-11T12:10:40
eloantiguidadesleiloes.com.br,ELO Brinquedos e Antiguidades Leilões,60314,31/03/2026,,https://www.eloantiguidadesleiloes.com.br/,2026-06-11T12:08:34
outrasepocas.com.br,Outras Épocas - Coleções e Antiguidades,51174,31/03/2025,,https://www.outrasepocas.com.br/,2026-06-11T03:55:10
aureaantiguidades.com.br,Áurea Antiguidades,49968,31/03/2025,,https://www.aureaantiguidades.com.br/,2026-06-11T03:55:10
casaguarisse.com.br,Casa Guarisse Leilões,50527,31/03/2025,,https://www.casaguarisse.com.br/,2026-06-11T05:51:18
discodevinil.com,Disco de Vinil,50851,31/03/2025,,https://www.discodevinil.com/,2026-06-11T06:06:17
leilao.lalanda.com.br,Lalanda Brasil,49460,31/03/2025,,https://www.leilao.lalanda.com.br/,2026-06-11T06:28:59
ciadeantiguidades.com.br,Cia de Antiguidades,50598,31/03/2025,,https://www.ciadeantiguidades.com.br/,2026-06-11T12:05:34
notredameleiloes.com.br,NotreDame Joias,51299,31/03/2025,,https://www.notredameleiloes.com.br/,2026-06-11T12:14:00
sbleiloeiro302.com.br,S&B8 Casa de Leilões - Severo Barbosa,50797,31/03/2025,,https://www.sbleiloeiro302.com.br/,2026-06-11T12:16:41
koopakabana.com.br,KoopaKabana Leilões,33371,31/03/2023,,https://www.koopakabana.com.br/,2026-06-11T12:09:49
estiloantigoleiloes.com.br,Estilo Antigo Leilões,26078,31/03/2022,,https://www.estiloantigoleiloes.com.br/,2026-06-11T06:11:53
pontodocolecionadorleiloes.com.br,Ponto do Colecionador leilões,59151,31/01/2026,,https://www.pontodocolecionadorleiloes.com.br/,2026-06-11T03:55:10
discodevinil.com,Disco de Vinil,58901,31/01/2026,,https://www.discodevinil.com/,2026-06-11T06:06:17
galeriabatataleiloes.com.br,Galeria Batata Leilões,58934,31/01/2026,,https://www.galeriabatataleiloes.com.br/,2026-06-11T06:21:21
123moedas.com.br,123 Moedas,58906,31/01/2026,,https://www.123moedas.com.br/,2026-06-11T11:38:36
discodevinil.com,Disco de Vinil,49669,31/01/2025,,https://www.discodevinil.com/,2026-06-11T06:06:17
claudiofirminoleiloeiro.com.br,Claudio Firmino Leiloeiro,49653,31/01/2025,,https://www.claudiofirminoleiloeiro.com.br/,2026-06-11T05:56:15
modernaleiloes.com.br,Numismática Moderna Leilões,49242,31/01/2025,,https://www.modernaleiloes.com.br/,2026-06-11T11:55:26
miltrekosleiloes.com.br,Miltrekos Leilões,49638,31/01/2025,,https://www.miltrekosleiloes.com.br/,2026-06-11T11:55:13
jmacedoleiloes.com.br,J Macedo Leilões,49945,31/01/2025,,https://www.jmacedoleiloes.com.br/,2026-06-11T12:09:36
duzzivintage.com.br,Duzzi Vintage Leilões,40771,31/01/2024,,https://www.duzzivintage.com.br/,2026-06-11T06:07:46
antiquesmp.com.br,Antiques MP,40563,31/01/2024,,https://www.antiquesmp.com.br/,2026-06-11T12:02:56
estiloantigoleiloes.com.br,Estilo Antigo Leilões,32570,31/01/2023,,https://www.estiloantigoleiloes.com.br/,2026-06-11T06:11:53
gavealeiloes.com.br,Gavea Leilões,31800,31/01/2023,,https://www.gavealeiloes.com.br/,2026-06-11T06:21:34
modernaleiloes.com.br,Numismática Moderna Leilões,32834,31/01/2023,,https://www.modernaleiloes.com.br/,2026-06-11T11:55:26
republicadaarte.com.br,Galeria República da Arte,62299,30/5/2026,PR,https://www.republicadaarte.com.br/,2026-06-10T23:20:12
antiquarioibiza.com.br,Antiquário Ibiza,62246,30/5/2026,RJ,https://www.antiquarioibiza.com.br/,2026-06-10T23:20:12
fxmcolecoes.com.br,FxXxM Moedas & Coleções,62128,30/5/2026,SP,https://www.fxmcolecoes.com.br/,2026-06-10T23:20:12
arteseantiquariobenjamin.com.br,Artes e Antiquário Benjamin,62068,30/5/2026,RJ,https://www.arteseantiquariobenjamin.com.br/,2026-06-10T23:20:12
piadoselo.com.br,Piá do Selo,61942,30/5/2026,PR,https://www.piadoselo.com.br/,2026-06-10T23:20:12
discodevinil.com,Disco de Vinil,61637,30/5/2026,RJ,https://www.discodevinil.com/,2026-06-10T23:20:12
bastosleiloes.com.br,Bastos Leilões,59932,30/5/2026,RJ,https://www.bastosleiloes.com.br/,2026-06-10T23:20:12
rugendasvitorbraga.com.br,Galeria Vitor Braga Leilões,57259,30/5/2026,MG,https://www.rugendasvitorbraga.com.br/,2026-06-10T23:20:12
clubefilatelicodobrasil.org,Clube Filatélico do Brasil,58462,30/12/2025,,https://www.clubefilatelicodobrasil.org/,2026-06-11T05:56:55
discodevinil.com,Disco de Vinil,48954,30/12/2024,,https://www.discodevinil.com/,2026-06-11T06:06:17
casagrimaldi.com.br,Casa Grimaldi Leilões,48437,30/11/2024,,https://www.casagrimaldi.com.br/,2026-06-11T05:51:00
duzzivintage.com.br,Duzzi Vintage Leilões,48127,30/11/2024,,https://www.duzzivintage.com.br/,2026-06-11T06:07:46
outrasepocas.com.br,Outras Épocas - Coleções e Antiguidades,39641,30/11/2023,,https://www.outrasepocas.com.br/,2026-06-11T03:55:10
bradg.com.br,Bradg Brazilian Art e Design Gallery,39368,30/11/2023,,https://www.bradg.com.br/,2026-06-11T05:44:40
duzzivintage.com.br,Duzzi Vintage Leilões,39499,30/11/2023,,https://www.duzzivintage.com.br/,2026-06-11T06:07:46
miltrekosleiloes.com.br,Miltrekos Leilões,39592,30/11/2023,,https://www.miltrekosleiloes.com.br/,2026-06-11T11:55:13
mktoyseantique.com.br,MK Toys e Antique,31520,30/11/2022,,https://www.mktoyseantique.com.br/,2026-06-11T12:13:22
fibragaleria.com,Fibra Galeria,23479,30/11/2021,,https://www.fibragaleria.com/,2026-06-11T06:13:47
alfa27.com.br,ALFA 27 Colecionáveis,56476,30/10/2025,,https://www.alfa27.com.br/,2026-06-11T03:55:10
anamelloleiloeira.com.br,Ana Mello Leiloeira,56320,30/10/2025,,https://www.anamelloleiloeira.com.br/,2026-06-11T03:55:10
anamelloleiloeira.com.br,Ana Mello Leiloeira,56221,30/10/2025,,https://www.anamelloleiloeira.com.br/,2026-06-11T03:55:10
budanoleiloeiro.com.br,Francesco Budano - Leiloeiro Oficial,56275,30/10/2025,,https://www.budanoleiloeiro.com.br/,2026-06-11T05:45:53
normandialeiloes.com.br,"Normandia Leilões - Militaria, Antiguidades e Colecionismo",56331,30/10/2025,,https://www.normandialeiloes.com.br/,2026-06-11T05:56:27
diegoaraujoleiloeiro.com.br,Diego Araújo Leiloeiro Público Oficial,56584,30/10/2025,,https://www.diegoaraujoleiloeiro.com.br/,2026-06-11T06:05:23
duzzivintage.com.br,Duzzi Vintage Leilões,56410,30/10/2025,,https://www.duzzivintage.com.br/,2026-06-11T06:07:46
claudiofirminoleiloeiro.com.br,Claudio Firmino Leiloeiro,56595,30/10/2025,,https://www.claudiofirminoleiloeiro.com.br/,2026-06-11T05:56:15
leilaotresmarias.com.br,Leilão Três Marias,56523,30/10/2025,,https://www.leilaotresmarias.com.br/,2026-06-11T06:31:54
tuneldotempoleiloes.com.br,Túnel do Tempo Leilões,55043,30/10/2025,,https://www.tuneldotempoleiloes.com.br/,2026-06-11T12:00:47
vermerleiloes.com.br,Vermer Leilões,56484,30/10/2025,,https://www.vermerleiloes.com.br/,2026-06-11T12:01:10
emporiobrasilleiloes.com.br,Empório Brasil Leilões,54247,30/10/2025,,https://www.emporiobrasilleiloes.com.br/,2026-06-11T12:07:16
