house_domain,lot_id,title,uf,lot_url,item_type_normalized,designer,attribution_strength,condition_tier,size_class,current_bid_brl,bid_count,est_resale_base,est_gross_margin_pct,signal,signal_reasons
artemaiorleiloes.com.br,31141611,"M. Valerim - Quadro figurativo, óleo sobre eucatex, medindo 39x47cm, com moldura, ano 1992.",PE,https://artemaiorleiloes.com.br/peca.asp?Id=31141611,quadro_pintura,,NONE,none,medium,400.0,0,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
artemaiorleiloes.com.br,31091096,"Cleide Albuquerque - Quadro óleo sobre eucatex, medindo 50x70cm, com moldura. Ano 2001.",PE,https://artemaiorleiloes.com.br/peca.asp?Id=31091096,quadro_pintura,,NONE,none,medium,400.0,0,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
artemaiorleiloes.com.br,31087168,"Sandro Maciel - 1965 - Quadro óleo sobre eucatex, medindo 60x80cm, no estado, sem moldura. Ano 1989. Sandro Maciel (Olinda, 1965) é um pintor contemporâneo brasileiro renomado, cuja obra é profundamente inspirada pela cultura, cores e o cotidiano do povo de Pernambuco. Com mais de 40 anos de carreira, iniciou sua trajetória aos 14 anos como ajudante do mestre José Cláudio. Sua arte retrata ladeiras, fé e festas populares, sendo celebrada nacional e internacionalmente.",PE,https://artemaiorleiloes.com.br/peca.asp?Id=31087168,quadro_pintura,,NONE,heavy,medium,400.0,0,324.0,-14.0,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
artemaiorleiloes.com.br,31071790,"Chalita - 1930/2010 - Quadro óleo sobre tela, da série''Do Baile'', medindo 33x24cm, com moldura. Ano 1982. Pierre Gabriel Najm Chalita foi uma figura multifacetada e de grande importância para a cultura do Nordeste brasileiro, artista completo (pintor, escultor, desenhista) e um intelectual brasileiro. Sua pintura era intensamente expressiva, enquanto sua formação como arquiteto permitiu-lhe restaurar importantes patrimônios alagoanos e fundar uma instituição de arte duradoura.",PE,https://artemaiorleiloes.com.br/peca.asp?Id=31071790,quadro_pintura,,NONE,none,medium,400.0,1,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
leilaovaledosreis.com.br,31008836,"JORGE GRISI - Par de aquarelas. Moldura sanduíche de vidro com metal dourado. Medidas: 37,5 x 28,5 cm (moldura) e 32,5 x 23,5 cm (tela)",RJ,https://leilaovaledosreis.com.br/peca.asp?Id=31008836,quadro_pintura,,NONE,none,medium,400.0,0,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
garimpoleiloes.com.br,30952412,"Quadro Óleo s/tela, trata-se de uma releitura da obra intitulada ""Alegoria da Fortuna"", pintada pelo artista renascentista italiano Dosso Dossi por volta de 1530. Com cena alegórica, a pintura é rica em simbolismo e apresenta elementos intrigantes. Esta obra não possui assinatura - 48 x 59 cm (s/moldura) e 60 x 69 cm (c/moldura). (moldura com presença de insetos).",RS,https://garimpoleiloes.com.br/peca.asp?Id=30952412,quadro_pintura,,NONE,none,medium,400.0,0,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
br.ernanileiloeiro.com.br,31113123,JULIO VIEIRA - Duas figuras técnica mista sobre cartão colado em eucatex medindo. 47 X 32 cm. Assinado no CID e datado de 1979. Medida com moldura. 60 X 47 cm.,RJ,https://br.ernanileiloeiro.com.br/peca.asp?Id=31113123,quadro_pintura,,NONE,none,medium,400.0,0,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
vmescritarteleiloes.com.br,31088396,"SEM ASSINATURA ""Casario com barco à beira do rio"", óleo sobre tela, medindo 26 cm por 31 cm.",SP,https://vmescritarteleiloes.com.br/peca.asp?Id=31088396,quadro_pintura,,NONE,none,medium,400.0,0,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
anamelloleiloeira.com.br,31087193,MARIA CECÍLIA - óleo sobre eucatex representando figura feminina com moldura em madeira. Assinado e datado no canto inferior direito (Maria Cecília). Obra em excelente estado. Moldura apresenta desgastes. Medidas obra: 38.5 cm x 31 cm. Medidas moldura: 55.5 cm x 47.5 cm.,RJ,https://anamelloleiloeira.com.br/peca.asp?Id=31087193,quadro_pintura,,NONE,light,medium,400.0,0,324.0,-6.8571,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
br.ernanileiloeiro.com.br,29715652,"UTA KEIL  Cópia de ""La Rentrée"" de JULIEN DUPRÉ. OST, assinado no CID e titulado no verso. Med. sem moldura: 38,5 X 46,5 cm. Med. com moldura: 50 X 58 cm.",RJ,https://br.ernanileiloeiro.com.br/peca.asp?Id=29715652,quadro_pintura,,NONE,none,medium,400.0,0,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
emporiopaulista.net,31131586,"Sem Assinatura, par de quadros a maneira Cusquenha 57 X 40 OST. colocado sobre eucatex",SP,https://emporiopaulista.net/peca.asp?Id=31131586,quadro_pintura,,NONE,none,medium,400.0,0,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
emporiopaulista.net,31131378,Campilongo - retrato - OST - CID - 50cm x 40cm,SP,https://emporiopaulista.net/peca.asp?Id=31131378,quadro_pintura,,NONE,none,medium,400.0,0,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
albertolopesleiloeiro.com.br,31172947,"QUADRO  Óleo sobre tela representando vista interna do Mosteiro de São Bento, Rio de Janeiro. Obra do artista plástico português João de Jesus. João de Jesus é um artista plástico português; nasceu na cidade de Lamego em 1943. Radicado no brasil desde 1956, tem exposto em várias galerias de arte já tendo participado de inúmeras exposições coletivas. É restaurador e membro da diretoria da sociedade brasileira de belas artes. Seus trabalhos encontram-se atualmente em acervos de museus e galerias de arte, no brasil e no exterior, bem como em coleções particulares. Medidas com moldura: 72x52cm.",RJ,https://albertolopesleiloeiro.com.br/peca.asp?Id=31172947,quadro_pintura,,NONE,none,medium,400.0,0,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
anamelloleiloeira.com.br,31007623,ALCY VIANNA - óleo sobre eucatex representando marinha com moldura em madeira. Assinado no canto inferior direito. Em excelente estado. Medidas obra: 38.5 cm x 48.5 cm. Medidas moldura: 56 cm x 66 cm.,RJ,https://anamelloleiloeira.com.br/peca.asp?Id=31007623,quadro_pintura,,NONE,none,medium,400.0,0,324.0,-4.4762,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
