house_domain,name,uf,lots_finalizados,lots_vendidos,lots_zero_lance,martelo_medio,lots_ao_vivo,sell_through,zero_bid_rate
paulovasconcellosleiloes.com.br,Paulo Vasconcellos Leilões,,0,0,0,,11,,
bruceangeirasleiloeiro.com.br,Bruce Angeiras Leilões,,0,0,0,,94,,
bonequinhadeluxoleiloes.com.br,Bonequinha de Luxo Leilões,,0,0,0,,2,,
raildacosta.com.br,Railda Costa - Leiloeira Oficial,,0,0,0,,96,,
plusartedecorleiloes.com.br,Plus Arte Decor e Leilões,RJ,0,0,0,,24,,
pecaunicacolecionismo.com.br,Peça Única Colecionismo,,0,0,0,,4,,
brunoreisarte.com.br,Bruno Reis Leilões,,0,0,0,,119,,
capitaldasartes.com.br,Capital das Artes,,0,0,0,,65,,
brexodolucio.com.br,Antiquário Brexo do Lúcio,,0,0,0,,17,,
rmgouvealeiloes.com.br,Roberto Magalhães Gouvêa - Leiloeiro Oficial,,0,0,0,,51,,
renotleiloes.com.br,Renot Leilões,,0,0,0,,22,,
resgatemoveisleiloes.com,Resgate Móveis leilões,,0,0,0,,35,,
ricamemoria.com.br,Rica Memória,,0,0,0,,9,,
rioantigoleiloes.com.br,Rio Antigo Leilões,,0,0,0,,128,,
rrdeco.com.br,RR DECO Antiguidades,,0,0,0,,756,,
rosalinoleiloes.com.br,Rosalino Leilões,,0,0,0,,5,,
rioarteleiloes.com.br,Rio Arte Leilões,,0,0,0,,26,,
rtleiloes.com.br,RT Leilões e Artes,,0,0,0,,3,,
shoppingdosantiquarios.lel.br,Shopping dos Antiquários,,0,0,0,,159,,
tallonileiloes.com.br,Talloni Leilões,,0,0,0,,83,,
tamiriscarvalholeiloeira.com.br,Tamiris Carvalho Leiloeira,,0,0,0,,161,,
yankous.com.br,André Yankous Leiloeiro Público,,0,0,0,,16,,
