house_domain,name,uf,lots_finalizados,lots_vendidos,lots_zero_lance,martelo_medio,lots_ao_vivo,sell_through,zero_bid_rate
leilaoexpressbrasil.com.br,Leilão Express Brasil,SP,488,120,367,336.9,0,0.2459016393442623,0.7520491803278688
suyaneserraleiloes.com.br,Suyane Serra Leilões,RJ,480,78,402,158.33333333333334,0,0.1625,0.8375
poraoleiloes.com.br,Porão Leilões,SP,471,251,220,22.223107569721115,0,0.5329087048832272,0.46709129511677283
obaraodosleiloes.com.br,O Barão dos Leilões,SP,458,218,240,112.74311926605505,0,0.4759825327510917,0.5240174672489083
vertumleiloes.com.br,Vertum Leilões,RJ,455,192,263,256.375,0,0.421978021978022,0.578021978021978
viaarteleiloes.com.br,Via Arte Leilões,SP,452,20,432,600.0,0,0.04424778761061947,0.9557522123893806
nossacolecao.com.br,Nossa Coleção,SP,451,449,1,107.07349665924276,0,0.9955654101995566,0.0022172949002217295
bardileiloes.com.br,Bardi Leilões,,445,35,410,314.45714285714286,0,0.07865168539325842,0.9213483146067416
riodejaneiroleiloes.com.br,Rio de Janeiro Leilões,,406,208,182,140.8653846153846,0,0.5123152709359606,0.4482758620689655
discodevinil.com,Disco de Vinil,RJ,406,375,31,57.41866666666667,0,0.9236453201970444,0.07635467980295567
pascavalcante.com.br,Pas Cavalcante Leilões,RJ,402,177,225,257.07909604519773,62,0.44029850746268656,0.5597014925373134
olhodeboifilatelialeiloes.com.br,Olho de Boi Filatelia,PR,400,313,87,10.13738019169329,0,0.7825,0.2175
dasantigasleiloes.com.br,Das Antigas Leilões,RJ,400,301,99,25.45514950166113,0,0.7525,0.2475
chcollection.com.br,"CH Collection - Numismática, Joias e Colecionáveis",PR,386,0,386,,0,0.0,1.0
benedictleiloes.com.br,Benedict Leilões,SP,369,48,321,726.9791666666666,0,0.13008130081300814,0.8699186991869918
fundodobauleiloes.com.br,Antiquário Fundo do Baú,RJ,367,235,125,304.6,0,0.6403269754768393,0.3405994550408719
avcolecoes.com.br,Av Coleções,SP,360,259,101,23.822393822393824,0,0.7194444444444444,0.28055555555555556
galeriatoys.com.br,Galeria Toys,SP,353,142,211,68.33098591549296,0,0.40226628895184136,0.5977337110481586
ocolecionnadorleiloes.com.br,Ocolecionnador,RJ,350,317,33,61.4416403785489,0,0.9057142857142857,0.09428571428571429
antigoporto.com.br,Antigoporto Leilões,,322,194,128,43.75773195876289,0,0.6024844720496895,0.39751552795031053
rangerdotexas.com.br,Ranger do Texas,RS,315,195,120,14.697435897435897,0,0.6190476190476191,0.38095238095238093
diegoaraujoleiloeiro.com.br,Diego Araújo Leiloeiro Público Oficial,RS,312,68,244,327.3529411764706,17,0.21794871794871795,0.782051282051282
